moqui.basic.LocalizedMessage,seed
zh,Add Asset,添加资产
zh,Add Assignment,添加指派
zh,Add Assoc,添加关联
zh,Add Attachment,添加附件
zh,Add Authenticator App,添加认证App
zh,Add Authorization,添加授权
zh,Add Blog Post from Page,从页面添加博客文章
zh,Add Blog Post with Text,用文本添加博客文章
zh,Add Box Type,添加包装箱类型
zh,Add Carrier Shipment Method,添加配送方法
zh,Add Child Account,添加
zh,Add Child Category,添加子分类
zh,Add Client,添加客户
zh,Add Code,添加代码
zh,Add Comment,添加评论
zh,Add Contact,添加
zh,Add Content,添加
zh,Add Dest. Address,添加目的地址
zh,Add Detail,添加详情
zh,Add Dimension,添加尺寸
zh,Add Direct Role,添加直接角色
zh,Add Email,添加邮件
zh,Add Email Factor,添加邮箱因子
zh,Add Equipment,添加设备
zh,Add Ad-hoc Preference,添加临时偏好
zh,Add Existing Preference,添加现有偏好
zh,Add Feature,添加特征
zh,Add Feature to All,添加产品特征
zh,Add From Orders,从订单添加
zh,Add GL Account,添加GL科目
zh,Add Group,添加组
zh,Add Identification,添加唯一标识
zh,Add Invoice Item,添加账单条目
zh,Add Item,添加条目
zh,Add Location,添加位置
zh,Add Location Type,添加位置类型
zh,Add Mail,添加邮箱
zh,Add Maintenance,添加维护
zh,Add Meter,添加仪表
zh,Add New,添加新
zh,Add Note,添加
zh,Add Orders,添加订单
zh,Add Organization,添加组织
zh,Add Origin Address,添加原地址
zh,Add Other Item,添加其他条目
zh,Add Other Maintenance,添加维护记录
zh,Add Other Role,添加其他角色
zh,Add Package,添加包装箱
zh,Add Page,添加页面
zh,Add Parent Account,添加
zh,Add Part,添加拆单
zh,Add Party,添加当事人
zh,Add Payment,添加付款单
zh,Add Payment Gateway,添加支付网关
zh,Add Person,添加人员
zh,Add Phone,添加电话
zh,Add Planned Maintenance,添加维护计划
zh,Add Product,添加产品
zh,Add Product Item,添加产品条目
zh,Add Project Assignment,添加项目指派
zh,Add Promo Code,添加促销代码
zh,Add Purpose,添加用途
zh,Add Rate Amount,添加单价
zh,Add Related From,添加被关联
zh,Add Related To,添加到关联
zh,Add Request,添加审批
zh,Add Shipments,添加运单
zh,Add Shipping Address,添加配送地址
zh,Add Shipping Gateway,添加配送网关
zh,Add Shipping Option,添加配送方法
zh,Add Single Use Codes,添加单独用户代码
zh,Add SMS Factor,添加短信因子
zh,Add Store,添加店铺
zh,Add Store Category,添加店铺分类
zh,Add Survey Field,添加调查字段
zh,Add Task,添加任务
zh,Add Task Assignment,添加任务指派
zh,Add Team,添加任务指派
zh,Add Time Entry,添加工时记录
zh,Add To Feature Group,添加到特征组
zh,Add To Product,添加到产品
zh,Add To Request,添加到审批
zh,Add UOM Dimension,添加度量
zh,Add User,添加用户
zh,Add User Assignment,添加用户
zh,Add User Group,添加用户组
zh,Add Vendor,添加供应商
zh,Add Wiki Page,添加维基页面
zh,Add to Category,添加到分类
zh,Add to Group,添加组
zh,Add to Organization,添加组织
zh,Add to Package,装入
zh,Add to Picklist,添加到拣货单
zh,Add to Request,添加到审批
zh,Add to Return,添加到退货单
zh,Add to Sales Account,添加
zh,Address 1,地址1
zh,Address 2,地址2
zh,Address Purpose,地址用途
zh,Address Trust,地址信任
zh,Address1,地址1
zh,Adjust Invoice,调整账单
zh,Adjust Item,调整条目
zh,Adjustments,调整
zh,Administrator,行政人员
zh,Afghanistan,阿富汗
zh,Age By,账龄按
zh,Aging,账龄
zh,Aging Summary (displayed records only),账龄概要（只显示行）
zh,Agreement Date,合同日期
zh,Agreement ID,合同ID
zh,AgreementTitle,合同管理
zh,Agreements,合同
zh,Aisle,通道
zh,Albania,阿尔巴尼亚
zh,Algeria,阿尔及利亚
zh,All Asset Issuances,全部资产出库
zh,All Asset Receipts,全部的资产入库
zh,All Incoming Payments,全部收入款
zh,All Incoming Shipments except Return Shipments,除退货外的所有进货货件
zh,All Issuances,全部出库
zh,All Issuances except Outgoing Shipments and Production Runs,全部的出库出了出库运单与生产
zh,All Location Assets,库位中全部资产
zh,All Outgoing Payments,全部支出款
zh,All Outgoing Shipments,全部出库运单
zh,All Parties,全部参与人
zh,All Payable Invoices,全部应付账单
zh,All Purchase Orders,全部采购订单
zh,All Receipts,全部的入库
zh,All Receipts except Incoming Shipments and Production Runs,所有入库除进货与生产外
zh,All Receivable Invoices,全部应收账单
zh,All Sales Orders,全部销售订单
zh,Allow Any HTML,允许任意HTML
zh,Allow Any Html,允许任意HTML
zh,American Samoa,美属萨摩亚
zh,Amount Included,包含数量
zh,Amount Total,总金额
zh,Amount UOM,数量 单位
zh,Amount/UOM,数量/单位
zh,An Invoice will be generated for this Shipment when it is Packed and the Invoice Date will be set to the Packed Date.,此货件在包装时将生成发票，发票日期将设置为包装日期。
zh,Andorra,安道尔
zh,Angola,安哥拉
zh,Anguilla,安圭拉
zh,Anhui,安徽省
zh,Antarctica,南极洲
zh,Antigua And Barbuda,安提瓜和巴布达
zh,Annual,年度
zh,Annual Depr.,年度折旧
zh,Any,任意
zh,Any Carrier Method,全部配送方法
zh,Any Carrier Method?,全部配送方法
zh,Any Field,任意字段
zh,Any HTML,任意HTML
zh,"Any Role may be added here to organize parties for searching, etc but many are used to describe a Party's relationship to, or involvement with, other things in the system and have no effect when applied directly.",此处的角色可以用在搜索参与者，也可以用来定义参与者之间的关系，参与其他活动的角色。不会对系统流程阐述影响。
zh,Any Promo Code,任意促销代码
zh,Any Type,全部类型
zh,App List,应用列表
zh,Appl,应用
zh,Appl. Type,应用类型
zh,Applicable Payments,可核销付款单
zh,Applicable Unpaid Invoices,可核销未付账单
zh,Application,程序
zh,Application Instances,应用实例
zh,Applications,应用
zh,Applied,已应用
zh,"Applied ${ec.l10n.formatCurrency(appliedTotal, payment.amountUomId)}, Unapplied ${ec.l10n.formatCurrency(unappliedTotal, payment.amountUomId)}","已核销 ${ec.l10n.formatCurrency(appliedTotal, payment.amountUomId)}，未核销${ec.l10n.formatCurrency(unappliedTotal, payment.amountUomId)}"
zh,Applied Payments,已核销
zh,"Applied Payments ${ec.l10n.formatCurrency(appliedPaymentsTotal, invoice.currencyUomId)}, Unpaid ${ec.l10n.formatCurrency(unpaidTotal, invoice.currencyUomId)}","已核销${ec.l10n.formatCurrency(appliedPaymentsTotal, invoice.currencyUomId)}，未付${ec.l10n.formatCurrency(unpaidTotal, invoice.currencyUomId)}"
zh,Apply,应用
zh,Apply Ad-hoc Permission,应用临时权限
zh,Apply Existing Permission,应用现有权限
zh,Apply Feature,应用特征
zh,Apply Feature Group,应用特征组
zh,Apply Invoice to Order,应用账单到订单
zh,Apply Invoice to Shipment,应用账单到运单
zh,Apply Item to Order,应用条目到订单
zh,Apply Item to Shipment,应用条目到运单
zh,Apply New Feature,应用新特征
zh,Applied Qty,应用数量
zh,Applied Total,应用总额
zh,Apply to Category,应用到分类
zh,Appr Order Qty,已批准订单数
zh,Approval,批准
zh,Approve,批准
zh,Approve Order Anyway,仍然批准
zh,Approve Orders,批准订单
zh,Approves orders matching current find options. Use the Find Options dialog to adjust as needed before doing this.,批准当前查找到的订单。使用【查找选项】调整所需的订单。
zh,Approve Warnings,批准警告
zh,Approved - ${pstats.taskCountByStatusMap.WeApproved?:0},已批准 - ${pstats.taskCountByStatusMap.WeApproved?:0}
zh,Are you sure you want to cancel this shipment?,确定要取消这个运单吗？
zh,Area Code,区号
zh,Argentina,阿根廷
zh,Armenia,亚美尼亚
zh,Arrival Date,到达日期
zh,Artifact Bins,构件箱
zh,Artifact Group,构件组
zh,Artifact Groups,构件组
zh,Artifact Hit Bins,构件点击箱
zh,Artifact Hit Summary,构件点击摘要
zh,Artifact Stats,构件统计
zh,Artifact Summary,构件摘要
zh,Artifact Sub Type,构件子类型
zh,Artifact Type,构件类型
zh,Artifact Type Enum ID,构件类型ID
zh,Artifact Name,构件名称
zh,Aruba,阿鲁巴岛
zh,As Of Date,截止日期
zh,Asc,升序
zh,Asset,资产
zh,Asset ${existingRes.assetId},资产${existingRes.assetId}
zh,Asset ${resInfo.existingRes.assetId},资产${resInfo.existingRes.assetId}
zh,Asset Adjustments,资产调整
zh,Asset Allow Issue Over QOH,允许超QOH
zh,Asset Allow Other Owner,允许其他拥有者
zh,Asset Class,资产分类
zh,Asset Detail,资产详情
zh,Asset ID,库存流水号
zh,Asset Name,资产名称
zh,Asset Name,资产名称
zh,Asset On Hand,在手资产
zh,Asset On Hand Summary,在手资产概要
zh,Asset Owner will default to Facility owner,资产拥有者默认为仓库拥有者
zh,Asset Pool,资产池
zh,Asset Receipt Transaction,资产收到凭证
zh,Asset Reservations,预约资产
zh,Asset Status by Receipt,收到资产状态
zh,Asset Summary,资产摘要
zh,Asset Summary Find,资产摘要查询
zh,Asset Type,资产类型
zh,Asset Types,资产类型
zh,Asset and Inventory Reports,资产与库存报表
zh,AssetTitle,资产管理
zh,Assets (Detail),资产(详情)
zh,Assets (Summary),资产(概要)
zh,Assets Consumed,消耗资产
zh,Assets Link,资产链接
zh,Assets Produced,产出资产
zh,Assign Check Numbers,指定检查数量
zh,Assign Party,添加指派人
zh,Assign To,指派人
zh,Assigned To,指派人
zh,Assigned To Team,指派的团队
zh,Assignee,指派人
zh,Assignments,指派人
zh,Assoc From,关联从
zh,"Assoc From (Virtual, BOM)",被关联(虚拟、 BOM)
zh,Assoc. Type,关联类型
zh,Associated,关联
zh,Associated From,关联从
zh,Association,协会
zh,At,在
zh,Attachment File,附件文件
zh,Attachments,附件
zh,Attendee,参加者
zh,Attention,注意
zh,Attn Name,经办人名字
zh,Audit Log,审计日志
zh,Australia,澳大利亚
zh,Austria,奥地利
zh,Auth Code,验证码
zh,Authenticate failed for user ${newUserAccount.username} because account is disabled and is not schedule to be automatically re-enabled [DISPRM].,账号${newUserAccount.username}已被永久禁用。
zh,Authenticate failed for user ${newUserAccount.username} because account is disabled and will not be re-enabled until ${reEnableTime} [DISTMP].,账号${newUserAccount.username}已被临时禁用。请在${reEnableTime}之后再试。
zh,Authenticate failed for user ${newUserAccount.username} because password was changed ${wksSinceChange} weeks ago and must be changed every ${changeWeeks} weeks [PWDTIM].,账号${newUserAccount.username}的密码上次修改已是${wksSinceChange}星期以前，必须每${changeWeeks}星期修改一次。
zh,Authenticate failed for user [${newUserAccount.username}] because account requires password change [PWDCHG].,账号${newUserAccount.username}需修改密码。
zh,Authentication Methods,认证方法
zh,Author,作者
zh,Authorizations,授权
zh,Authz Type,授权类型
zh,Authz Service Name,授权服务名称
zh,Auto Approve Delay,自动批准推迟
zh,Auto Payments Term,付款条款
zh,Auto Res.,自动预约
zh,Auto Reservation,自动预约
zh,Auto Set,自动设置
zh,Auto set status from Shipment statuses?,根据运单状态自动设置拣货单状态？
zh,Auto Update Rates,自动更新单价
zh,Available Balance,可用余额
zh,Avg,平均
zh,"Avg Rate ${ec.l10n.formatCurrency(pstats.clientAverageHourCost, project.costUomId, 2)}","平均单价${ec.l10n.formatCurrency(pstats.clientAverageHourCost, project.costUomId, 2)}"
zh,Azerbaijan,阿塞拜疆
zh,Back to Find Blog Post,返回到博客文章查询
zh,Bad Actor (Banned),危险分子（被禁）
zh,Bahamas,巴哈马
zh,Bahrain,巴林
zh,Balance,余额
zh,"Balance: ${ec.l10n.formatCurrency(financialAccount.actualBalance, financialAccount.currencyUomId)}, Available: ${ec.l10n.formatCurrency(financialAccount.availableBalance, financialAccount.currencyUomId)}","余额: ${ec.l10n.formatCurrency(financialAccount.actualBalance, financialAccount.currencyUomId)}, 可用: ${ec.l10n.formatCurrency(financialAccount.availableBalance, financialAccount.currencyUomId)}"
zh,Balance Date,余额日期
zh,Balance Sheet,资产负债表
zh,Balance Sheet History,资产负债表历史
zh,Bangladesh,孟加拉国
zh,Bank Accounts,银行账户
zh,Bank Name,银行名称
zh,Barbados,巴巴多斯
zh,Base Currency,基础货币
zh,Because of password errors not creating account with username ${username},因密码错误，没有创建账号${username}
zh,Begin (In Progress),开始(进行中)
zh,Beginning Balance,期初余额
zh,Begins With,以...开始
zh,Beijing,北京市
zh,Belarus,白俄罗斯
zh,Belgium,比利时
zh,Belize,伯利兹
zh,Benin,贝宁
zh,Bermuda,百慕大
zh,Bhutan,不丹
zh,Billed,已开票
zh,Billed Total,开票总额
zh,Billing Country,国家
zh,Billing Type,类型
zh,Billing Zip,邮编
zh,Bin Start,堆栈开始时间
zh,Birth,生日
zh,Birth Date,生日
zh,Black,黑
zh,Blog Posts,博客文章
zh,Blogs,博客
zh,Bolivia,玻利维亚
zh,Booked Payable Invoices,登记的应付账单
zh,Booked Receivable Invoices,登记的应收账单
zh,Bosnia And Herzegowina,波斯尼亚和黑塞哥维那
zh,Botswana,博茨瓦纳
zh,Both,都
zh,Bouvet Island,布韦岛
zh,Box,箱子
zh,Box Type,包装箱类型
zh,Box Types,包装箱类型
zh,Box Types PDF,包装箱类型PDF
zh,Brazil,巴西
zh,Break,休息
zh,Break Hours,休息小时数
zh,British Indian Ocean Territory,英属印度洋领地
zh,Broker,经纪人
zh,Brunei Darussalam,文莱达鲁萨兰国
zh,"Budget ${ec.l10n.formatCurrency(project.totalClientCostAllowed, project.costUomId, 2)}","预算${ec.l10n.formatCurrency(project.totalClientCostAllowed, project.costUomId, 2)}"
zh,Budget (d),预算天数
zh,Budget (h),预算小时
zh,Budget Details,预算详情
zh,Budgets,预算
zh,BudgetsTitle,预算
zh,Bulgaria,保加利亚
zh,Bulk Checks,批量检查
zh,Bulk Cost Update,批量更新成本
zh,Bulk Create Picklists,批量新建拣货单
zh,Burkina Faso,布基纳法索
zh,Burundi,布隆迪
zh,Business Analyst,业务分析师
zh,Buyer,买方
zh,CSV,CSV
zh,Cache,缓存
zh,Cache List,缓存列表
zh,Cache Mgmt,缓存管理
zh,Calc Price,计算的价格
zh,Calendar,日历
zh,Cambodia,柬埔寨
zh,Cameroon,喀麦隆
zh,Can be Location ID or Container ID or Serial Number (Plate ID),可以是库位ID或者容器（托盘）的ID或序列号
zh,Can only create initial admin account if there are no UserAccount records,仅当没有任何账号时才能创建初始管理员账号
zh,Canada,加拿大
zh,Cancel,取消
zh,Cancel Invoice and Payments,取消账单与付款单
zh,Cancel Payment and Invoices,取消付款单与账单
zh,Cancel Shipment,取消运单
zh,Cancel this invoice and all payments applied to it?,取消此发票和所有应用到此发票的付款单？
zh,Cancelled - ${pstats.taskCountByStatusMap.WeCancelled?:0},取消 - ${pstats.taskCountByStatusMap.WeCancelled?:0}
zh,Capacity,容量
zh,Capacity UOM,容量单位
zh,Cape Verde,佛得角
zh,Captcha,验证码
zh,Card Number,卡号
zh,Card Security Code,卡安全代码
zh,Carrier,承运方
zh,Carrier Code,承运方代码
zh,Carrier Party,承运方
zh,Carrier Ship Methods,配送方法
zh,Carrier Shipment Methods,配送方法
zh,Cash Flow,现金流
zh,Cashier,出纳员
zh,CatalogTitle,品类管理
zh,Categories,分类
zh,Category,分类
zh,Category ID,分类ID
zh,Category List,分类列表
zh,Category Tree,分类树
zh,Category Type,分类类型
zh,CategoryTitle,分类
zh,Categories,分类
zh,Cayman Islands,开曼群岛
zh,Central African Republic,中非共和国
zh,Chad,乍得
zh,Change,改变
zh,Change Password,修改密码
zh,Change Reason,修改原因
zh,Change status to ${statusTransition.description}?,修改状态到【${statusTransition.description}】?
zh,Check Num,检查数量
zh,Check PDF,支票PDF
zh,Check Reservations,检查预留
zh,Checks,支票
zh,Checks only available for payment methods owned by an Internal Organization,支票只对内部组织的支付方法可用
zh,Checks PDF,检查PDF
zh,Child Account,子客户
zh,Child Categories,子分类
zh,Child Facilities,子类型
zh,Child Sales Accounts,子公司
zh,Child Tasks,子任务
zh,Children,子
zh,Chile,智利
zh,China,中国
zh,Chongqing,重庆市
zh,Choose an Application,选择应用程序
zh,Christmas Island,圣诞岛
zh,City/Zip,城市/邮编
zh,Class,类
zh,Class Type,分类
zh,Classification,类型
zh,Classifications,类型
zh,Clear Current Find,清空当前查找
zh,Clear Find,重置条件
zh,Clear Parameters,清空参数
zh,Client,客户
zh,Client Billing Rep,客户计费代表
zh,Client Hour Calc,客户小时计算
zh,Client Hour Rate,客户小时单价
zh,Client Invoice,客户账单
zh,Client Manager,客户经理
zh,Client Piece Calc,客户计件计算
zh,Client Piece Rate,客户计件单价
zh,Clients,客户
zh,Clone,克隆
zh,Clone Accounting Settings,克隆会计设置
zh,Clone Event,克隆事件
zh,Clone Product,克隆产品
zh,Clone Project,克隆项目
zh,Clone Run,克隆运行
zh,Clone Space,克隆空间
zh,Clone Task,克隆任务
zh,Close,关闭
zh,Close Date,关闭日期
zh,Close Order,关闭订单
zh,Close Orders,关闭订单
zh,Closes orders matching current find options. Use the Find Options dialog to adjust as needed before doing this.,关闭当前查找到的订单。使用【查找选项】调整所需的订单
zh,Closing an order will cancel all items not yet shipped. If all items cancelled then the order will be Cancelled. If any item was shipped the order will be Completed.,关闭订单将取消所有尚未发货的条目。 如果所有条目都被取消，那么订单将被取消。 如果有任何条目已发货，则订单将完成。
zh,Close Part,关闭拆单
zh,Close Pkg ${shipmentPackageSeqId},关闭包装${shipmentPackageSeqId}
zh,Cocos (keeling) Islands,科科斯（基林）群岛
zh,Code Expires,代码过期日
zh,COGS Method,销货成本方法
zh,Colombia,哥伦比亚
zh,Column,列
zh,Column Fields,列字段
zh,Columns,列
zh,Comments,评论
zh,Communication Event,沟通事件
zh,Comoros,科摩罗
zh,Company Name On Account,账户公司名称
zh,Competitor,竞争者
zh,Complete/Closed - ${((pstats.taskCountByStatusMap.WeComplete?:0) as BigDecimal) + ((pstats.taskCountByStatusMap.WeClosed?:0) as BigDecimal)},完成/关闭 - ${((pstats.taskCountByStatusMap.WeComplete?:0) as BigDecimal) + ((pstats.taskCountByStatusMap.WeClosed?:0) as BigDecimal)}
zh,Completed Purchase Orders,已完成的采购订单
zh,Completed Sales Orders,已完成的销售订单
zh,Completed Tasks,完成的任务
zh,Computer Systems Design Services,计算机系统设计服务
zh,Computer Training,电脑培训
zh,Condition failed for transition [${location}],not running actions or redirecting
zh,"Condition failed for transition [${location}], not running actions or redirecting","transition [${location}]中条件未通过, 不能运行actions处理或者redirecting跳转"
zh,Congo,刚果
zh,"Congo, The Democratic Republic Of The",刚果民主共和国
zh,Consumable Shipment List,领用出库单列表
zh,Consume Any,消耗任意
zh,Consume Asset,消耗资产
zh,Consume by Product,生产消耗
zh,Consumed by Production Run,生产消耗
zh,Consumer,消费者
zh,Contact Info,联系方式
zh,Contact Number,电话
zh,Contact of Sales Accounts,联系人公司
zh,Container ID,容器ID
zh,Containers,容器
zh,Contains,包含
zh,Content,内容
zh,Content File,内容附件
zh,Content List,内容列表
zh,Content Type,内容类型
zh,Content:,内容:
zh,Contractor,承包商
zh,Convert To Organization,转化为组织
zh,Convert To Person,转化为个人
zh,Cook Islands,库克群岛
zh,Copy,拷贝
zh,Corporation,公司
zh,Cost,成本
zh,Cost %,成本%
zh,Cost Budget,成本预算
zh,Costa Rica,哥斯达黎加
zh,Cote D'ivoire,科特迪瓦
zh,Could not find account with username ${username},找不到用户名为${username}的账号
zh,Count,数量
zh,Country of Origin,源产地
zh,Country/State,国家/省
zh,Create Account,新账户
zh,Create All Variants,创建全部变体
zh,Create Artifact Group,创建构建组
zh,Create App Instance,创建应用实例
zh,Create Bank Account,新建银行账号
zh,Create Container,创建容器
zh,Create Container ID,创建容器ID
