moqui.basic.LocalizedMessage,seed
zh,Czech Republic,捷克共和国
zh,Dashboard,首页
zh,DashboardAccounting,财务
zh,DashboardApproved,已批准
zh,DashboardAsset,资产
zh,DashboardCatalog,品类
zh,DashboardCustomers,客户
zh,DashboardFacility,仓库
zh,DashboardHold,已挂起
zh,DashboardInProgress,进行中
zh,DashboardIncomingShipment,入库
zh,DashboardInventoryAssets,库存
zh,DashboardManufacturing,制造
zh,DashboardOutgoingShipment,出库
zh,DashboardParties,参与者
zh,DashboardPlaced,已订
zh,DashboardProducts,产品
zh,DashboardPurchaseOrders,采购订单
zh,DashboardReports,报表
zh,DashboardRequests,审批
zh,DashboardReturns,退换货
zh,DashboardSalesOrders,销售订单
zh,DashboardShipping,拣货
zh,DashboardStores,店铺
zh,DashboardSubmitted,已提交
zh,DashboardSuppliers,供应商
zh,DashboardSurvey,调查问卷
zh,DashboardTitle,首页
zh,DashboardWikiBlogs,Wiki博客
zh,DashboardWikiContent,Wiki内容
zh,Data Admin,数据管理
zh,Data Document,数据文档
zh,Data Documents and Feeds,文档与数据
zh,Data Export,数据倒出
zh,Data Import,数据导入
zh,Data Snapshots,数据快照
zh,Data Source,数据源
zh,Data Source ID,数据源ID
zh,Data Source Type,数据源类型
zh,Data View,数据视图
zh,Data Views,数据视图
zh,Database,数据库
zh,Database Host,数据库主机
zh,Date,日期
zh,Date Moved,移动日期
zh,Day,天
zh,Days Since Receipt,自收货的天数
zh,Days To Ship,发货天数
zh,Days Since Last Track,自上一次追踪的天数
zh,Days Since Packed,自打包以来的天数
zh,Debits,借
zh,Decline,拒绝
zh,Default Amount,默认数量
zh,"Default Asset Owner (${ownerPartyId}) different from Facility owner (${destinationFacility.ownerPartyId}), if not consignment inventory change now",默认资产所有者 (${ownerPartyId}) 不同于设施所有者 (${destinationFacility.ownerPartyId})，如果不是寄售，库存会立即更改。
zh,Default Assignee,默认受让人
zh,Default Currency,默认货币
zh,Default Days to Ship,默认发货天数
zh,Default Disable Promotions,禁用促销
zh,Default Disable Shipping Calc,禁用运费计算
zh,Default Disable Tax Calc,禁用税费计算
zh,Default GL Account,默认GL科目
zh,Default Locale,默认地区
zh,Default Order Source,默认订单渠道
zh,Default Seq #,默认顺序
zh,"Defaults to 12, set to 0 to ignore",默认为12，0表示忽略
zh,"Defaults to 5, set to 0 to ignore",默认为5，0表示忽略
zh,Defaults to 0 (ignored),默认为0，表示忽略
zh,Delegate,代表
zh,Delete (Expire),删除（过期）
zh,Delivery Date,送达日期
zh,Denmark,丹麦
zh,Department,部门
zh,Departments,部门
zh,Depreciation History,折旧历史
zh,Desc,降序
zh,Dest Facility,目的设施
zh,Dest. Facility,收货仓
zh,Destination Address,目的地址
zh,Destination Facility,收货仓
zh,Detail,详情
zh,Detail History,详情历史
zh,Detail Link Path,详情链接路径
zh,Detail PDF,详情PDF
zh,Details PDF,详情PDF
zh,Dimension UOM,长度单位
zh,Dimensions,尺寸
zh,Disable Account,禁用账号
zh,Disable Promotions,禁用促销
zh,Disable Shipping Calc,禁用运费计算
zh,Disable Tax Calc,禁用税费计算
zh,Disabled,禁用
zh,Disabled?,禁用?
zh,Disabled Date,禁用日期
zh,Disallow Posting,禁止过账
zh,Disc %,折扣%
zh,Display ID,显示ID
zh,Distributor,经销商
zh,Distributor Preferred,经销商首选
zh,Division,分配
zh,Djibouti,吉布提
zh,Do Find,进行查找
zh,Do Not Display,不显示
zh,Dominica,多米尼加
zh,Dominican Republic,多明尼加共和国
zh,Download,下载
zh,Drag fields to the desired column or do not display,拖放列调整顺序，或拖到不显示。
zh,Drop Shipment List,直运出库单列表
zh,Due,截止日期
zh,Due:,截止日期
zh,Due Date,截止日期
zh,Due Date:,截止日期:
zh,"Duplicates found (by ${party.hasDuplicates == 'Y' ? 'address/name, phone/name, ' : ''}identification, email, or birth date and name)",发现重复记录，请检查地址/姓名，电话/姓名，唯一标识，邮件，生日和姓名。
zh,Dups,重复
zh,East Timor,东帝汶
zh,Ecuador,厄瓜多尔
zh,Edit,编辑
zh,Edit ${partPaymentInfo.paymentMethod?.description ?: 'Payment Method ' + partPaymentInfo.partPayment.paymentMethodId},编辑${partPaymentInfo.paymentMethod?.description ?: '付款方式 ' + partPaymentInfo.partPayment.paymentMethodId}
zh,Edit Asset,编辑资产
zh,Edit Attachment,编辑附件
zh,Edit and Report Builder,文档编辑器
zh,Edit Blog Post,编辑博客文章
zh,Edit Blog Posts,编辑博客文章
zh,Edit Client,编辑客户
zh,Edit Content,编辑内容
zh,Edit Customer,编辑客户
zh,Edit Equipment,编辑设备
zh,Edit Lots,编辑批次
zh,Edit Note,编辑备注
zh,Edit Parent Account,编辑父账户
zh,Edit Part,编辑拆单
zh,Edit Party,编辑参与方
zh,Edit Part ${orderPart.orderPartSeqId},编辑拆单${orderPart.orderPartSeqId}
zh,Edit Payment ${partPaymentInfo.partPayment.paymentId},编辑付款单${partPaymentInfo.partPayment.paymentId}
zh,Edit Physical Inventory,编辑库存盘点
zh,Edit Production Run,编辑生产订单
zh,Edit Request,编辑审批
zh,Edit Shipment,编辑运单
zh,Edit Supplier,编辑供应商
zh,Edit Vendor,编辑供应商
zh,Edit Wiki Page,编辑维基页面
zh,Effective Date,生效日
zh,Egypt,埃及
zh,El Salvador,萨尔瓦多
zh,Email Addresses,邮箱
zh,Email Administrator,电子邮件管理员
zh,Email Export,邮件倒出
zh,Email Messages,邮件消息
zh,Email will be sent to ${userAccount.emailAddress} (username ${userAccount.username}),邮件将会被发送到${userAccount.emailAddress} (用户名 ${userAccount.username})
zh,Email Purpose,邮件用途
zh,Email Subject,邮件主题
zh,Email Template,邮件模版
zh,Email Type,邮件类型
zh,EmailServer [${emailServerId}] has no mailPassword,EmailServer [${emailServerId}]未定义邮箱密码
zh,EmailServer [${emailServerId}] has no mailUsername,EmailServer [${emailServerId}]未定义邮箱用户名
zh,EmailServer [${emailServerId}] has no storeHost,EmailServer [${emailServerId}]未定义邮箱主机地址
zh,Emails,邮件
zh,"Emails have been sent, these cannot be unsent",邮件已被发送，不能被撤回。
zh,Employee Rates,员工报价
zh,Employees,员工
zh,Employer,员工
zh,Empty,为空
zh,Enable Account,启用账号
zh,End Date,结束日期
zh,Ending,结束
zh,Ending Balance,期末余额
zh,Enter Setting,新建
zh,Enter Store Setting,新建店铺配置
zh,"Enter values for 2 of the 3 below, or just Hours or From and Thru will be set to now",填写3个中的2个，或者只填写小时数开始日期和结束日期会被设置成当前时间。
zh,Enterprise,企业
zh,Entity Data Sync,实体数据同步
zh,Entity Filter Sets,实体过滤集合
zh,Entity Sync,实体同步
zh,Entity Tools,实体工具
zh,Entities,实体
zh,Entry,登记
zh,Entry Date,创建日期
zh,Equals,等于
zh,Equatorial Guinea,赤道几内亚
zh,Equipment Assets,设备
zh,Eritrea,厄立特里亚
zh,Error parsing JSON-RPC response for service [${serviceName ?: method}]: ${t.toString()},解析服务[${serviceName ?: method}]的JSON-RPC返回结果错误 : ${t.toString()}
zh,Est,评估
zh,"Est ${ec.l10n.formatCurrency(pstats.clientBudgetEstimateDiff?.abs(), project.costUomId, 2)} ${pstats.clientBudgetEstimateDiff &lt; 0 ? 'over' : 'under'}","评估${ec.l10n.formatCurrency(pstats.clientBudgetEstimateDiff?.abs(), project.costUomId, 2)} ${pstats.clientBudgetEstimateDiff &lt; 0 ? '超过' : '低于'}"
zh,Est Arrival,预估到达
zh,"Est Cost ${ec.l10n.formatCurrency(pstats.clientEstimatedCost, project.costUomId, 2)}","评估成本${ec.l10n.formatCurrency(pstats.clientEstimatedCost, project.costUomId, 2)}"
zh,Est Ready,预估备好
zh,"Est Rem ${ec.l10n.format(project.remainingWorkTime, '#.#')} hrs","评估剩余${ec.l10n.format(project.remainingWorkTime, '#.#')}小时"
zh,Est Ship,预估发货
zh,Est. Arrival,预估到达
zh,Est. Cost,预估费用
zh,Est. Hours,预估工作量
zh,Est. Quantity,预估数量
zh,Est. Ready,预估备好
zh,Est. Start,预估开始
zh,"Estimate ${ec.l10n.format(project.estimatedWorkTime, '#.#')} hrs","评估${ec.l10n.format(project.estimatedWorkTime, '#.#')}小时"
zh,Estimated,评估
zh,Estimated (d),评估天数
zh,Estimated (h),评估小时
zh,Estimated Amount,预估金额
zh,Estimated Arrival Date,预估到达
zh,Estimated Delivery,预计送达时间
zh,Estimated Hours,评估小时
zh,Estimated Hours:,评估小时:
zh,Estimated Ready Date,预估备好
zh,Estimated Ship,预计发货时间
zh,Estimated Start Date,预计开始日期
zh,Estonia,爱沙尼亚
zh,Ethiopia,埃塞俄比亚
zh,Event Detail,事件详情
zh,Example,样例
zh,Example Feature,样例特征
zh,Exclude Not in Pick Loc,不包括不在拣货位置的
zh,Exclude On Picklist,不包括在拣货单的中
zh,Executive,管理人员
zh,Existing Invoice,存在的账单
zh,Expectation,期望
zh,Expected End Of Life,预计报废日期
zh,Expenses,费用
zh,Expense Invoice,费用账单
zh,Expert User,专家用户
zh,Expiration,过期时间
zh,Expiration Date,过期日期
zh,Expire Date,过期时间
zh,Export,导出
zh,Export Fixed-Width Plain Text,导出固定宽度纯文本
zh,Export Text,导出文本
zh,Extension,扩展
zh,External ID,外部ID
zh,Facilities,设施
zh,Facility ID,设施ID
zh,Facility List,设施列表
zh,Facility Locations,设施位置
zh,Facility Name,设施名称
zh,Facility Size,设置容量
zh,Facility Type,设施类型
zh,Facility*,设施*
zh,FacilityTitle,仓库管理
zh,Factor ID,因子ID
zh,Factor Type,因子类型
zh,Failed Logins,登录失败次数
zh,Falkland Islands (malvinas),福克兰群岛（马尔维纳斯）
zh,Family,家庭
zh,Family Member,家庭成员
zh,Faroe Islands,法罗群岛
zh,Feature,特征
zh,Feature 2,特征2
zh,Feature Group,特征组
zh,Feature Group ID,特征组ID
zh,Feature Group(s),特征组
zh,Feature Groups,特征组
zh,Feature ID,特征ID
zh,Feature Type,特征类型
zh,Features,特征
zh,Fee Fills,费用填写
zh,Feed Index,数据索引
zh,Field,字段
zh,Field Descriptions,字段描述
zh,Field Name,字段名称
zh,Field cannot be empty,输入不能为空
zh,Fields,字段
zh,Fiji,斐济
zh,File ${filename} already exists,skipping entity ${en}.
zh,"File ${filename} already exists, skipping document ${dataDocumentId}.",文件 ${filename}已存在，跳过文档${dataDocumentId}。
zh,"File ${filename} already exists, skipping entity ${en}.",文件 ${filename}已存在，跳过实体${en}。
zh,File ${filename} already exists.,文件 ${filename}已经存在。
zh,Filed By,申请人
zh,Files,文件
zh,Files only available for payment methods owned by an Internal Organization,文件只对内部组织的支付方法可用
zh,Filter,过滤
zh,Filter By,过滤
zh,Financial Accounts,金融账户
zh,Financial Account TX,金融账户凭证
zh,Financial Acct Reasons,财务会计原因
zh,Financial Acct Types,财务会计类型
zh,Financial Info,财务
zh,Financial Ratios,财务比率
zh,Financial Reports,财务报表
zh,"Financial Summary for ${ec.resource.expand('PartyNameTemplate', null, partyDetail)}","财务摘要${ec.resource.expand('PartyNameTemplate', null, partyDetail)}"
zh,FinancialAccountTitle,金融账户
zh,Find,查找
zh,Find Accounts,查找账户
zh,Find Asset,资产查询
zh,Find Assets,查找资产
zh,Find Category,分查询类
zh,Find Customer,客户查询
zh,Find Duplicates,查重
zh,Find Entries,查询分录
zh,Find Facility,设施查询
zh,Find Feature,特征查询
zh,Find Feature Group,特征组查询
zh,Find Financial Account,金融账户查询
zh,Find Individual Assets,资产明细查询
zh,Find Invoice,账单查询
zh,Find Gl Account,科目查询
zh,Find Options,查找选项
zh,Find Options required to view results,必须输入查询条件进行查找
zh,Find Order,订单查询
zh,Find Parameters,查找变量
zh,Find Party,参与者查询
zh,Find Payment,付款单查询
zh,Find Physical Inventory,库存盘点查询
zh,Find Product,产品查询
zh,Find Product Store,店铺查询
zh,Find Production Runs,生产订单查询
zh,Find Project,项目查询
zh,Find Request,审批查询
zh,Find Shipment,运单查询
zh,Find Shipments,运单查询
zh,Find Summary,摘要查询
zh,Find Survey,问卷查询
zh,Find Supplier,供应商查询
zh,Find Task,任务查询
zh,Find Tasks,任务查询
zh,Find Time Period,期间查询
zh,Find Transaction,凭证查询
zh,Find Transaction Entry,凭证分录查询
zh,FindSalesOrdersLink,销售订单
zh,Finland,芬兰
zh,First Name,姓
zh,First Order,第一单
zh,Fixed Asset Detail,固定资产详情
zh,Fixed Asset List,固定资产列表
zh,FixedAssetTitle,固定资产
zh,For,为
zh,"For new lot enter Lot Number (and Dates), for existing select above",创建新的批次与日期。如使用现有批次，请选择上方的下拉框。
zh,For Invoice,为账单
zh,For This,为此
zh,"For physical inventory assets are grouped by Product, Facility, Location, Lot, Owner, Pool, and Status.",对于实物库存，资产按产品、设施、位置、批次、所有者、池和状态分组。
zh,Force Close,强制关闭
zh,Force Complete,强制完成
zh,Form,表单
zh,Found issues with password so not updating,密码有问题，没有更新
zh,France,法国
zh,"France, Metropolitan",法国，大都会
zh,French Guiana,法属圭亚那
zh,French Polynesia,法属波利尼西亚
zh,French Southern Territories,法属南部领地
zh,From,从
zh,"From ${ec.resource.expand('PartyNameTemplate','',fromParty)},","发信人：${ec.resource.expand('PartyNameTemplate','',fromParty)} "
zh,From Container,原容器
zh,From Date,开始日期
zh,From Factor ID,开始因子ID
zh,From ID,开始ID
zh,From Location,从仓位
zh,From Party,从
zh,From Payment Method,从支付方式
zh,From Pool,源池
zh,From Role,从角色
zh,From address is empty for EmailTemplate [${emailTemplateId}],邮件模板EmailTemplate [${emailTemplateId}]设置中的From地址不能为空
zh,From or To Party,从或到参与者
zh,Fujian,福建省
zh,Full Name,全名
zh,Full History PDF,全部历史PDF
zh,Full Search,全文检索
zh,Full search string: ${queryString?:''},全部查询字符串：${queryString?:''}
zh,GL Account,总账科目
zh,GL Accounts,总账科目
zh,GL Journals,总账日记账
zh,GL Transactions,总账凭证
zh,GLJournalsTitle,总账日记账
zh,Gabon,加蓬
zh,Gambia,冈比亚
zh,Gansu,甘肃省
zh,Garnishment Payee,扣押收款人
zh,Gateway,网关
zh,Gateway Authorize,网关验证
zh,Gateway Box ID,网关箱子ID
zh,Gateway Box Type,网关箱子类型
zh,Gateway CMD ID,网关CMD ID
zh,Gateway Capture,网关捕获
zh,Gateway Code,网关代码
zh,Gateway Config,网关配置
zh,Gateway Responses,网关响应
zh,Gateway Release Auth,网关发布验证
zh,Gateway Type,网关类型
zh,Gateways,网关
zh,General Ledger,总账
zh,General Tools,一般工具
zh,Generate PDF,生成PDF文件
zh,Georgia,乔治亚州
zh,Germany,德国
zh,Get Server Printers,获得服务器打印机
zh,Get as CSV,下载CSV
zh,Get as PDF,下载PDF
zh,Get as XML,下载XML
zh,Get Gateway Status,获取网关状态
zh,Get Label,获取标签
zh,Get Label Anyway,仍然获取标签
zh,Get Labels,获取标签
zh,Get Labels Anyway,仍然获取标签
zh,Ghana,加纳
zh,Gibraltar,直布罗陀
zh,Gift Message,礼物留言
zh,GlAccountTitle,总账会计
zh,Go,去
zh,Go##Page,跳转到
zh,Government,政府
zh,Government Agency,政府机关
zh,Grand Total,总额
zh,Greece,希腊
zh,Greenland,格陵兰
zh,Grenada,格林纳达
zh,Grey,灰
zh,Gross Weight,毛重
zh,Group ID,组ID
zh,Group Type,组用类型
zh,Group Users,组用户
zh,Groups,组
zh,Guadeloupe,瓜德罗普岛
zh,Guam,关岛
zh,Guangdong,广东省
zh,Guangxi,广西壮族自治区
zh,Guatemala,危地马拉
zh,Guinea,几内亚
zh,Guinea-bissau,几内亚比绍
zh,Guizhou,贵州省
zh,Guyana,圭亚那
zh,HH Warehouse,仓库PDA
zh,HR,人力
zh,HR Dashboard,人力仪表盘
zh,Hainan,海南省
zh,Haiti,海地
zh,Has Role,角色包括
zh,Hazelcast Info,Hazelcast信息
zh,Header Image Path,头部图片地址
zh,Heard And Mc Donald Islands,赫德和麦克唐纳德群岛
zh,Hebei,河北省
zh,Height,高度
zh,Heilongjiang,黑龙江省
zh,Henan,河南省
zh,Hidden,隐藏
zh,Hits,点击数
zh,Hold,暂停
zh,Holy See (vatican City State),罗马教廷（梵蒂冈城国）
zh,Honduras,洪都拉斯
zh,Hong Kong,香港
zh,HongKong,香港特别行政区
zh,Host,主机
zh,Host Name,主机名
zh,Hosting Provider,托管服务提供商
zh,Hours,小时数
zh,Hours Budget,小时预算
zh,Hours Past ETA,ETA过去的小时数
zh,Household,家庭
zh,Hrs Est,评估小时
zh,Hubei,湖北省
zh,Human Res,人力资源
zh,Human Resources,人力资源
zh,Human Resources Manager,人力资源经理
zh,HumanResTitle,人力资源
zh,Hunan,湖南省
zh,Hungary,匈牙利
zh,ID Type,ID类型
zh,ID Value,ID值
zh,Iceland,冰岛
zh,Identification,唯一标识
zh,"If Quantity is less that current then asset records will be adjusted down oldest first, if greater then adjusted up newest first.",如果数量小于当前，则向下调整最早的资产记录。如果大于，则向上调整最新的资产记录。
zh,Ignore Case,忽略大小写
zh,Immediate?,立即？
zh,Import,导入
zh,In Planning - ${pstats.taskCountByStatusMap.WeInPlanning?:0},计划中 - ${pstats.taskCountByStatusMap.WeInPlanning?:0}
zh,In Progress - ${pstats.taskCountByStatusMap.WeInProgress?:0},进行中 - ${pstats.taskCountByStatusMap.WeInProgress?:0}
zh,"In-Process, Finalized, Sent, Acknowledged, Payment Received",处理中、已完成、已发送、已确认、已到款
zh,Inactive Tasks,非活动任务
zh,Income Statement,损益表
zh,Incoming Refund Payments,收入退款
zh,Incoming Shipments,入库单
zh,"Incoming, Received, Approved, Payment Sent",收到、已收到、已批准、已付款
zh,Index,索引
zh,Index Space Pages,索引空间页面
zh,India,印度
zh,Individual Assets,资产明细
zh,Indonesia,印度尼西亚
zh,Info,信息
zh,Initial Status,初始状态
zh,Inner Mongolia,内蒙古自治区
zh,Ins. Percent,保险百分比
zh,Insert,插入
zh,Instance,实例
zh,Instance ID,实例ID
zh,Instance Mgmt,实例管理
zh,Instance Name,实例名称
zh,Instances,实例
zh,Instrument,票据
zh,Insurance Percent,保险百分比
zh,Insurance Threshold,保险免赔额
zh,Integration Admin,集成管理
zh,Internal Comments,内部注释
zh,Internal Organization,内部组织
zh,Internal Organization Relationships,内部组织关系
zh,Internet Service Provider,互联网服务提供商
zh,Interval,间隔
zh,Interval Meter,间隔读数
zh,Interval Quantity,间隔数量
zh,Interval Reading,间隔读数
zh,Interval UOM,间隔单位
zh,Inventory Asset,库存资产
zh,Inventory Asset List,库存列表
zh,Inventory Available,库存情况
zh,Inventory Category,库存分类
zh,Inventory Date,库存日期
zh,Inventory Manager,库存经理
zh,Inventory Status,库存状态
zh,Inventory Valuation,库存估值
zh,InventoryCheckTitle,盘点任务
zh,Invoice,账单
zh,Invoice/Ref,账单/参考
zh,Invoice ${invoiceId},账单${invoiceId}
zh,Invoice Aging Detail,账单账龄明细
zh,Invoice Cost Percent,发票成本百分比
zh,Invoice Count,发票数量
zh,Invoice Date,开票日期
zh,Invoice Discount Percent,发票折扣百分比
zh,Invoice ID,账单ID
zh,Invoice Item,账单条目
zh,Invoice Item Summary,账单条目概要
zh,Invoice Message,账单消息
zh,Invoice Reconciliation,账单对账
zh,Invoice Time,工时账单
zh,"Invoice Total: ${ec.l10n.formatCurrency(invoice.invoiceTotal, invoice.currencyUomId)}, Unpaid: ${ec.l10n.formatCurrency(invoice.unpaidTotal, invoice.currencyUomId)}","账单总额: ${ec.l10n.formatCurrency(invoice.invoiceTotal, invoice.currencyUomId)}, 未付金额: ${ec.l10n.formatCurrency(invoice.unpaidTotal, invoice.currencyUomId)}"
zh,Invoice Total,账单总额
zh,"Invoice Total: ${ec.l10n.formatCurrency(invoiceTotal, invoice.currencyUomId)}","账单总额：${ec.l10n.formatCurrency(invoiceTotal, invoice.currencyUomId)}"
zh,Invoice Type,账单类型
zh,Invoice Types,账单类型
zh,Invoiced Quantity,发票中产品数量
zh,Invoices,账单
zh,Invoices From,账单从
zh,Invoices From (${fromInvoiceCount}),账单从(${fromInvoiceCount})
zh,Invoices To (${toInvoiceCount}),账单(${toInvoiceCount})
zh,Invoices Total,发票总额
zh,"Invoices (found ${invoiceIdSet.size()} associated with this shipment) will not be changed, must be cancelled manually",与此运单相关的${invoiceIdSet.size()}个账单不会被修改，需要手动取消。
zh,Invoices and Payments,账单与付款单
zh,"Invoices associated with this shipment will be CANCELLED: ${invoiceIdSet.join(', ')}","相关联的账单（${invoiceIdSet.join(', ')}）将被取消！！！"
zh,Iran (islamic Republic Of),伊朗（伊斯兰共和国）
zh,Iraq,伊拉克
zh,Ireland,爱尔兰
zh,Is Adjust,是否调整
zh,Is Gift,礼物
zh,Israel,以色列
zh,Issuance,发行
zh,Issue & Pack,发货与打包
zh,Issued,发货时间
zh,Issued Date,发行日
zh,Issued Quantity,发货数量
zh,Issued Total,发货总额
zh,Issued and Invoiced,成交记录
zh,Issued and Invoiced Report,已出货与已开票报表
zh,Italy,意大利
zh,Item,条目
zh,Item ${invoiceItem.invoiceItemSeqId}: ${invoiceItem.description},条目${invoiceItem.invoiceItemSeqId}: ${invoiceItem.description}
zh,Item Date,条目日期
zh,Item Description,描述
zh,Item Quantity,条目数量
zh,Item Quantity From,条目数量从
zh,Item Quantity Thru,条目数量到
zh,Item Total,条目合计
zh,Item Type,条目类型
zh,Item Types,条目类型
zh,Items,条目
zh,"Items have been packed/issued, these will be un-packed and returned to inventory",条目已被打包或发出，这些将被拆包并退回库存
zh,"Items have been received, all receipt quantities will be set to zero",条目已收到，收到的数量将被设置为0
zh,Jrnl,日记
zh,"JSON-RPC error with no message, code [${responseMap.error?.code}]","JSON-RPC无消息错误, 代码[${responseMap.error?.code}]"
zh,JSON-RPC response was not a object/Map for service [${serviceName ?: method}]: ${jsonObj},服务[${serviceName ?: method}]的JSON-RPC的返回不是object或者Map: ${jsonObj}
zh,Jamaica,牙买加
zh,Japan,日本
zh,Jiangsu,江苏省
zh,Jiangxi,江西省
zh,Jilin,吉林省
zh,Job Name,任务名称
zh,Jobs,任务
zh,Jobs Runs,任务运行
zh,Jordan,约旦
zh,Journal,日记
zh,Journal Name,日记账名称
zh,Kazakhstan,哈萨克斯坦
zh,Kenya,肯尼亚
zh,Key,键
zh,Kiribati,基里巴斯
zh,"Korea, Democratic People's Republic Of",朝鲜民主主义人民共和国
zh,"Korea, Republic Of",大韩民国
zh,Kuwait,科威特
zh,Kyrgyzstan,吉尔吉斯斯坦
zh,L10n: Messages,L10n: 消息
zh,L10n: Entity Fields,L10n: 实体字段
zh,Label ID,标签ID
zh,"Labels will not be refunded automatically, refund manually if needed",标签不会自动退款，需要时手动退款
zh,Labor Rates,工时费
zh,Lao People's Democratic Republic,老挝人民民主共和国
zh,Last,上
zh,Last/Next:Diff,前/后:差异
zh,Last Check Number,上次检查数量
zh,Last Hit,上次点击
zh,Last Name,名
zh,Last Track,最近追踪
zh,Last Updated,最近更新
zh,Last Updated:,最近更新:
zh,Last Year Period?,上年周期?
zh,Latitude,维度
zh,Latitude / Longitude,维度/经度
zh,Latvia,拉脱维亚
zh,Lead/Account,线索/客户
zh,Lebanon,黎巴嫩
zh,Ledger,分类账
zh,Ledger Balance,总账余额
zh,Lend Return Shipment List,借用归还入库单列表
zh,Lend Shipment List,借用出库单列表
zh,Lesotho,莱索托
zh,Level,层
zh,Liaoning,辽宁省
zh,Liberia,利比里亚
zh,Libyan Arab Jamahiriya,阿拉伯利比亚民众国
zh,Liechtenstein,列支敦士登
zh,Like,Like
zh,Line Characters,行字符
zh,Line Wrap?,自动换行？
zh,Link,链接
zh,List,列表
zh,Lithuania,立陶宛
zh,Loc Type,位置类型
zh,Locale,区域
zh,Localization,本地化
zh,Location,位置
zh,Location Asset,库位资产
zh,Location ID,位置ID
zh,Location Types,位置类型
zh,Locations,位置
zh,Log Viewer,日志查看器
zh,Login,登录
zh,Login As,登录此账号
zh,Login History,登录历史
zh,Longitude,经度
zh,Look Back Days,回顾天数
zh,Lookup Asset,查找资产
zh,Lookup by ID,按ID查找
zh,"Lookup by ID for Asset, Facility, Invoice, Order, Return, Party, Badge, Payment, Product, Shipment, Work Effort (Picklist, Production Run), GL Transaction",按ID查找:资产、设施、发票、订单、退货单、参与方、徽章、付款单、产品、运单、拣货单、生产计划
zh,Lot,批次
zh,Lot ID,批次ID
zh,Lot Number,批次
zh,LotTitle,批次
zh,Lots,批次
zh,Luxembourg,卢森堡
zh,MA Periods,移动平均线回顾期
zh,MRP,制造
zh,Macao,澳门特别行政区
zh,Macau,澳门
zh,"Macedonia, The Former Yugoslav Republic Of",马其顿，前南斯拉夫共和国
zh,Madagascar,马达加斯加
zh,Mailing Addresses,邮寄地址
zh,Maint Date,维护日期
zh,Maint ID,维护ID
zh,Maint Type,维护类型
zh,Maintenance Date,维护日期
zh,Maintenance History,维护历史
zh,Make Default,设置未默认
zh,Malawi,马拉维
zh,Malaysia,马来西亚
zh,Maldives,马尔代夫
zh,Mali,马里
zh,Malta,马耳他
zh,Manage,管理
zh,Manufactured,制造日期
zh,Manufactured Date,制造日期
zh,Manufacturer,制造商
zh,ManufacturingTitle,制造管理
zh,Marble ERP,理石ERP
zh,Margin %,边际%
zh,Margin Amount,边际收益
zh,Margin Percent,边际收益百分比
zh,Mark Viewed,标记为已查看
zh,MarketingCampaignTitle,市场营销
zh,Markup %,标记%
zh,Markup Amt,标记总价
zh,Markup Order Shipping Price,标记订单运费
zh,Markup Shipment Ship Labels,标记运单标签
zh,Marshall Islands,马绍尔群岛
zh,Martinique,马提尼克
zh,Matches,匹配
zh,"Matches whole words, use the asterisk (*) wildcard to match partial words; use field:term to search a specific field",匹配整个单词，使用星号（*）通配符匹配部分单词； 使用 field:term 搜索特定字段
zh,Mauritania,毛里塔尼亚
zh,Mauritius,毛里求斯
zh,Max,最大
zh,Max Amt,最大数量
zh,Maximum Amount,最大数量
zh,Mayotte,马约特岛
zh,Memo,备忘录
zh,Merge From ${partyId},从${partyId}合并
zh,Message,消息
zh,Message Remote,远端消息
zh,Message Remotes,远端消息
zh,Message Types,消息类型
zh,Messages,沟通
zh,Meta Description,Meta描述
zh,Meta Keywords,Meta关键字
zh,Meta-Descriptionzh,Meta说明
zh,Meter Name,仪表名称
zh,Meter Value,仪表读数
zh,Meter Readings,仪表读数
zh,Meters,仪表
zh,Mexico,墨西哥
zh,Mfg Date,生产日期
zh,"Micronesia, Federated States Of",密克罗尼西亚联邦
zh,Middle Name,中名
zh,Milestone:,里程碑:
zh,Milestone Summary,里程碑概要
zh,Milestones,里程碑
zh,Min,最小
zh,Min Quantity,最少数量
zh,Min Stock,最小库存
zh,Minimum Stock,最小库存
zh,Mod,修改
zh,Model Product,产品型号
zh,"Moldova, Republic Of",摩尔多瓦共和国
zh,Monaco,摩纳哥
zh,Mongolia,蒙古
zh,Montenegro,黑山
zh,Month,月
zh,Monthly,月度
zh,Monthly Depr.,月度折旧
zh,Montserrat,蒙特塞拉特
zh,More,更多
zh,Morocco,摩洛哥
zh,Move Asset,移动资产
zh,Move Asset(s),移动资产
zh,Move Asset ${assetId},移动资产${assetId}
zh,Move Assets,移动资产
zh,Move Container,移动容器
zh,Move Container ${container?.serialNumber ?: containerId},移动容器${container?.serialNumber ?: containerId}
zh,Move Dialog,移动对话框
zh,Move Link,移动链接
zh,Move Qty,移动数量
zh,Move Quantity,移动数量
zh,Move to Existing Container,移动到现有容器
zh,Move to New Container,移动到新容器
zh,Mozambique,莫桑比克
zh,My Account,个人中心
zh,My Milestones,我的里程碑
zh,My Open Requests,我的未完审批
zh,My Open Tasks,我的未完任务
zh,My Projects,我的项目
zh,MyAccountTitle,个人中心
zh,Myanmar,缅甸
zh,"NOTE: Invoice level stats (total, pre-paid, paid, etc) are not available by Product and will show as having no data",注意：发票级别统计数据（总计、预付、已付等）不适用于产品，将显示为无数据.
